report_month,spill_type,rurality,n_events,mean_delay,time,post_2020,time_post
2024-05-01,Historical,Rural,22,0.6818181818181818,111.63333333333334,1,111.63333333333334
2024-06-01,Historical,Rural,27,0.48148148148148145,112.66666666666667,1,112.66666666666667
2024-07-01,Historical,Rural,19,0.5789473684210527,113.66666666666667,1,113.66666666666667
2024-08-01,Historical,Rural,18,0.9444444444444444,114.7,1,114.7
2024-09-01,Historical,Rural,23,0.2608695652173913,115.73333333333333,1,115.73333333333333
2024-10-01,Historical,Rural,33,0.6666666666666666,116.73333333333333,1,116.73333333333333
2024-11-01,Historical,Rural,20,0.7,117.76666666666667,1,117.76666666666667
2024-12-01,Historical,Rural,18,0.7777777777777778,118.76666666666667,1,118.76666666666667
2015-03-01,Recent,Urban,3,2.0,0.0,0,0.0
2015-04-01,Recent,Urban,20,0.95,1.0333333333333334,0,0.0
2015-05-01,Recent,Urban,14,0.5714285714285714,2.033333333333333,0,0.0
2015-06-01,Recent,Urban,15,1.0666666666666667,3.066666666666667,0,0.0
2015-07-01,Recent,Urban,17,0.7058823529411765,4.066666666666666,0,0.0
2015-08-01,Recent,Urban,10,0.9,5.1,0,0.0
2015-09-01,Recent,Urban,12,1.0833333333333333,6.133333333333334,0,0.0
2015-10-01,Recent,Urban,8,1.0,7.133333333333334,0,0.0
2015-11-01,Recent,Urban,14,0.8571428571428571,8.166666666666666,0,0.0
2015-12-01,Recent,Urban,22,0.8636363636363636,9.166666666666666,0,0.0
2016-01-01,Recent,Urban,9,0.4444444444444444,10.2,0,0.0
2016-02-01,Recent,Urban,12,1.5,11.233333333333333,0,0.0
2016-03-01,Recent,Urban,22,1.5,12.2,0,0.0
2016-04-01,Recent,Urban,15,1.3333333333333333,13.233333333333333,0,0.0
2016-05-01,Recent,Urban,9,1.1111111111111112,14.233333333333333,0,0.0
2016-06-01,Recent,Urban,14,1.0,15.266666666666667,0,0.0
2016-07-01,Recent,Urban,8,0.5,16.266666666666666,0,0.0
2016-08-01,Recent,Urban,14,1.2857142857142858,17.3,0,0.0
